央视,#genre#
CCTV1,http://183.220.20.17:4321/rtp/239.11.0.65:5140
CCTV2,http://183.220.20.17:4321/rtp/239.11.0.108:5140
CCTV3,http://183.220.20.17:4321/rtp/239.11.0.101:5140
CCTV4,http://183.220.20.17:4321/rtp/239.11.0.109:5140
CCTV5,http://183.220.20.17:4321/rtp/239.11.0.100:5140
CCTV6,http://183.220.20.17:4321/rtp/239.11.0.102:5140
CCTV7,http://183.220.20.17:4321/rtp/239.11.0.110:5140
CCTV8,http://183.220.20.17:4321/rtp/239.11.0.103:5140
CCTV9,http://183.220.20.17:4321/rtp/239.11.0.111:5140
CCTV10,http://183.220.20.17:4321/rtp/239.11.0.112:5140
CCTV11,http://183.220.20.17:4321/rtp/239.11.0.22:5140
CCTV12,http://183.220.20.17:4321/rtp/239.11.0.113:5140
CCTV13,http://183.220.20.17:4321/rtp/239.11.0.24:5140
CCTV14,http://183.220.20.17:4321/rtp/239.11.0.114:5140
CCTV15,http://183.220.20.17:4321/rtp/239.11.0.26:5140
CCTV17,http://183.220.20.17:4321/rtp/239.11.0.107:5140
CCTV1,http://183.222.15.202:4321/rtp/239.11.0.65:5140
CCTV2,http://183.222.15.202:4321/rtp/239.11.0.108:5140
CCTV3,http://183.222.15.202:4321/rtp/239.11.0.101:5140
CCTV4,http://183.222.15.202:4321/rtp/239.11.0.109:5140
CCTV5,http://183.222.15.202:4321/rtp/239.11.0.100:5140
CCTV6,http://183.222.15.202:4321/rtp/239.11.0.102:5140
CCTV7,http://183.222.15.202:4321/rtp/239.11.0.110:5140
CCTV8,http://183.222.15.202:4321/rtp/239.11.0.103:5140
CCTV9,http://183.222.15.202:4321/rtp/239.11.0.111:5140
CCTV10,http://183.222.15.202:4321/rtp/239.11.0.112:5140
CCTV11,http://183.222.15.202:4321/rtp/239.11.0.22:5140
CCTV12,http://183.222.15.202:4321/rtp/239.11.0.113:5140
CCTV13,http://183.222.15.202:4321/rtp/239.11.0.24:5140
CCTV14,http://183.222.15.202:4321/rtp/239.11.0.114:5140
CCTV15,http://183.222.15.202:4321/rtp/239.11.0.26:5140
CCTV17,http://183.222.15.202:4321/rtp/239.11.0.107:5140
CCTV-1综合,http://113.81.20.24:8188/udp/239.77.1.144:5146
CCTV-2财经,http://113.81.20.24:8188/udp/239.77.1.158:5146
CCTV-3综艺,http://113.81.20.24:8188/udp/239.77.0.169:5146
CCTV-4中文国际,http://113.81.20.24:8188/udp/239.77.1.163:5146
CCTV-5体育,http://113.81.20.24:8188/udp/239.77.0.170:5146
CCTV-5+体育赛事,http://113.81.20.24:8188/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://113.81.20.24:8188/udp/239.77.1.31:5146
CCTV-6电影,http://113.81.20.24:8188/udp/239.77.0.171:5146
CCTV-7国防军事,http://113.81.20.24:8188/udp/239.77.0.138:5146
CCTV-8电视剧,http://113.81.20.24:8188/udp/239.77.0.172:5146
CCTV-9纪录,http://113.81.20.24:8188/udp/239.77.0.135:5146
CCTV-10科教,http://113.81.20.24:8188/udp/239.77.0.134:5146
CCTV-11戏曲,http://113.81.20.24:8188/udp/239.77.1.238:5146
CCTV-12社会与法,http://113.81.20.24:8188/udp/239.77.0.136:5146
CCTV-13新闻,http://113.81.20.24:8188/udp/239.253.43.196:5146
CCTV-14少儿,http://113.81.20.24:8188/udp/239.77.1.161:5146
CCTV-15音乐,http://113.81.20.24:8188/udp/239.77.1.239:5146
CCTV-16奥林匹克,http://113.81.20.24:8188/udp/239.77.0.165:5146
CCTV-17农业农村,http://113.81.20.24:8188/udp/239.77.1.121:5146
CCTV-兵器科技,http://113.81.20.24:8188/udp/239.253.43.9:5146
CCTV-第一剧场,http://113.81.20.24:8188/udp/239.253.43.15:5146
CCTV-电视指南,http://113.81.20.24:8188/udp/239.253.43.10:5146
CCTV-风云剧场,http://113.81.20.24:8188/udp/239.253.43.16:5146
CCTV-风云音乐,http://113.81.20.24:8188/udp/239.253.43.6:5146
CCTV-风云足球,http://113.81.20.24:8188/udp/239.253.43.14:5146
CCTV-高尔夫·网球,http://113.81.20.24:8188/udp/239.253.43.12:5146
CCTV-怀旧剧场,http://113.81.20.24:8188/udp/239.253.43.5:5146
CCTV-女性时尚,http://113.81.20.24:8188/udp/239.253.43.8:5146
CCTV-世界地理,http://113.81.20.24:8188/udp/239.253.43.7:5146
CCTV-央视台球,http://113.81.20.24:8188/udp/239.253.43.11:5146
CCTV-文化精品,http://113.81.20.24:8188/udp/239.253.43.13:5146
CCTV-1综合,http://14.112.85.20:3861/udp/239.77.1.144:5146
CCTV-2财经,http://14.112.85.20:3861/udp/239.77.1.158:5146
CCTV-3综艺,http://14.112.85.20:3861/udp/239.77.0.169:5146
CCTV-4中文国际,http://14.112.85.20:3861/udp/239.77.1.163:5146
CCTV-5体育,http://14.112.85.20:3861/udp/239.77.0.170:5146
CCTV-5+体育赛事,http://14.112.85.20:3861/udp/239.77.0.87:5146
CCTV-5+体育赛事,http://14.112.85.20:3861/udp/239.77.1.31:5146
CCTV-6电影,http://14.112.85.20:3861/udp/239.77.0.171:5146
CCTV-7国防军事,http://14.112.85.20:3861/udp/239.77.0.138:5146
CCTV-8电视剧,http://14.112.85.20:3861/udp/239.77.0.172:5146
CCTV-9纪录,http://14.112.85.20:3861/udp/239.77.0.135:5146
CCTV-10科教,http://14.112.85.20:3861/udp/239.77.0.134:5146
CCTV-11戏曲,http://14.112.85.20:3861/udp/239.77.1.238:5146
CCTV-12社会与法,http://14.112.85.20:3861/udp/239.77.0.136:5146
CCTV-13新闻,http://14.112.85.20:3861/udp/239.253.43.196:5146
CCTV-14少儿,http://14.112.85.20:3861/udp/239.77.1.161:5146
CCTV-15音乐,http://14.112.85.20:3861/udp/239.77.1.239:5146
CCTV-16奥林匹克,http://14.112.85.20:3861/udp/239.77.0.165:5146
CCTV-17农业农村,http://14.112.85.20:3861/udp/239.77.1.121:5146
CCTV-兵器科技,http://14.112.85.20:3861/udp/239.253.43.9:5146
CCTV-第一剧场,http://14.112.85.20:3861/udp/239.253.43.15:5146
CCTV-电视指南,http://14.112.85.20:3861/udp/239.253.43.10:5146
CCTV-风云剧场,http://14.112.85.20:3861/udp/239.253.43.16:5146
CCTV-风云音乐,http://14.112.85.20:3861/udp/239.253.43.6:5146
CCTV-风云足球,http://14.112.85.20:3861/udp/239.253.43.14:5146
CCTV-高尔夫·网球,http://14.112.85.20:3861/udp/239.253.43.12:5146
CCTV-怀旧剧场,http://14.112.85.20:3861/udp/239.253.43.5:5146
CCTV-女性时尚,http://14.112.85.20:3861/udp/239.253.43.8:5146
CCTV-世界地理,http://14.112.85.20:3861/udp/239.253.43.7:5146
CCTV-央视台球,http://14.112.85.20:3861/udp/239.253.43.11:5146
CCTV-文化精品,http://14.112.85.20:3861/udp/239.253.43.13:5146
卫视,#genre#
湖南卫视,http://183.220.20.17:4321/rtp/239.11.0.119:5140
浙江卫视,http://183.220.20.17:4321/rtp/239.11.0.70:5140
江苏卫视,http://183.220.20.17:4321/rtp/239.11.0.76:5140
北京卫视,http://183.220.20.17:4321/rtp/239.11.0.121:5140
江西卫视,http://183.220.20.17:4321/rtp/239.11.0.42:5140
广东卫视,http://183.220.20.17:4321/rtp/239.11.0.115:5140
深圳卫视,http://183.220.20.17:4321/rtp/239.11.0.71:5140
东方卫视,http://183.220.20.17:4321/rtp/239.11.0.68:5140
海南卫视,http://183.220.20.17:4321/rtp/239.11.0.193:5140
天津卫视,http://183.220.20.17:4321/rtp/239.11.0.123:5140
重庆卫视,http://183.220.20.17:4321/rtp/239.11.0.116:5140
辽宁卫视,http://183.220.20.17:4321/rtp/239.11.0.118:5140
东南卫视,http://183.220.20.17:4321/rtp/239.11.0.41:5140
广西卫视,http://183.220.20.17:4321/rtp/239.11.0.48:5140
河北卫视,http://183.220.20.17:4321/rtp/239.11.0.31:5140
山西卫视,http://183.220.20.17:4321/rtp/239.11.0.32:5140
陕西卫视,http://183.220.20.17:4321/rtp/239.11.0.54:5140
贵州卫视,http://183.220.20.17:4321/rtp/239.11.0.51:5140
湖北卫视,http://183.220.20.17:4321/rtp/239.11.0.74:5140
青海卫视,http://183.220.20.17:4321/rtp/239.11.0.56:5140
河南卫视,http://183.220.20.17:4321/rtp/239.11.0.44:5140
山东卫视,http://183.220.20.17:4321/rtp/239.11.0.73:5140
安徽卫视,http://183.220.20.17:4321/rtp/239.11.0.117:5140
宁夏卫视,http://183.220.20.17:4321/rtp/239.11.0.57:5140
甘肃卫视,http://183.220.20.17:4321/rtp/239.11.0.55:5140
西藏卫视,http://183.220.20.17:4321/rtp/239.11.0.53:5140
内蒙古卫视,http://183.220.20.17:4321/rtp/239.11.0.33:5140
吉林卫视,http://183.220.20.17:4321/rtp/239.11.0.35:5140
新疆卫视,http://183.220.20.17:4321/rtp/239.11.0.58:5140
兵团卫视,http://183.220.20.17:4321/rtp/239.11.0.204:5140
云南卫视,http://183.220.20.17:4321/rtp/239.11.0.52:5140
黑龙江卫视,http://183.220.20.17:4321/rtp/239.11.0.36:5140
湖南卫视,http://183.222.15.202:4321/rtp/239.11.0.119:5140
浙江卫视,http://183.222.15.202:4321/rtp/239.11.0.70:5140
江苏卫视,http://183.222.15.202:4321/rtp/239.11.0.76:5140
北京卫视,http://183.222.15.202:4321/rtp/239.11.0.121:5140
江西卫视,http://183.222.15.202:4321/rtp/239.11.0.42:5140
广东卫视,http://183.222.15.202:4321/rtp/239.11.0.115:5140
深圳卫视,http://183.222.15.202:4321/rtp/239.11.0.71:5140
东方卫视,http://183.222.15.202:4321/rtp/239.11.0.68:5140
海南卫视,http://183.222.15.202:4321/rtp/239.11.0.193:5140
天津卫视,http://183.222.15.202:4321/rtp/239.11.0.123:5140
重庆卫视,http://183.222.15.202:4321/rtp/239.11.0.116:5140
辽宁卫视,http://183.222.15.202:4321/rtp/239.11.0.118:5140
东南卫视,http://183.222.15.202:4321/rtp/239.11.0.41:5140
广西卫视,http://183.222.15.202:4321/rtp/239.11.0.48:5140
河北卫视,http://183.222.15.202:4321/rtp/239.11.0.31:5140
山西卫视,http://183.222.15.202:4321/rtp/239.11.0.32:5140
陕西卫视,http://183.222.15.202:4321/rtp/239.11.0.54:5140
贵州卫视,http://183.222.15.202:4321/rtp/239.11.0.51:5140
湖北卫视,http://183.222.15.202:4321/rtp/239.11.0.74:5140
青海卫视,http://183.222.15.202:4321/rtp/239.11.0.56:5140
河南卫视,http://183.222.15.202:4321/rtp/239.11.0.44:5140
山东卫视,http://183.222.15.202:4321/rtp/239.11.0.73:5140
安徽卫视,http://183.222.15.202:4321/rtp/239.11.0.117:5140
宁夏卫视,http://183.222.15.202:4321/rtp/239.11.0.57:5140
甘肃卫视,http://183.222.15.202:4321/rtp/239.11.0.55:5140
西藏卫视,http://183.222.15.202:4321/rtp/239.11.0.53:5140
内蒙古卫视,http://183.222.15.202:4321/rtp/239.11.0.33:5140
吉林卫视,http://183.222.15.202:4321/rtp/239.11.0.35:5140
新疆卫视,http://183.222.15.202:4321/rtp/239.11.0.58:5140
兵团卫视,http://183.222.15.202:4321/rtp/239.11.0.204:5140
云南卫视,http://183.222.15.202:4321/rtp/239.11.0.52:5140
黑龙江卫视,http://183.222.15.202:4321/rtp/239.11.0.36:5140
广东卫视,http://113.81.20.24:8188/udp/239.77.1.19:5146
广东卫视,http://113.81.20.24:8188/udp/239.77.1.152:5146
广东卫视,http://113.81.20.24:8188/udp/239.77.0.166:5146
广东大湾区卫视,http://113.81.20.24:8188/udp/239.77.0.215:5146
深圳卫视,http://113.81.20.24:8188/udp/239.77.1.3:5146
深圳卫视,http://113.81.20.24:8188/udp/239.77.0.130:5146
湖南卫视,http://113.81.20.24:8188/udp/239.77.1.5:5146
浙江卫视,http://113.81.20.24:8188/udp/239.77.1.33:5146
江苏卫视,http://113.81.20.24:8188/udp/239.77.1.18:5146
东方卫视,http://113.81.20.24:8188/udp/239.77.1.218:5146
安徽卫视,http://113.81.20.24:8188/udp/239.77.1.92:5146
北京卫视,http://113.81.20.24:8188/udp/239.77.1.4:5146
北京卫视,http://113.81.20.24:8188/udp/239.77.1.151:5146
天津卫视,http://113.81.20.24:8188/udp/239.77.1.141:5146
天津卫视,http://113.81.20.24:8188/udp/239.77.1.182:5146
天津卫视,http://113.81.20.24:8188/udp/239.77.0.131:5146
山东卫视,http://113.81.20.24:8188/udp/239.77.1.142:5146
江西卫视,http://113.81.20.24:8188/udp/239.77.1.219:5146
湖北卫视,http://113.81.20.24:8188/udp/239.77.0.128:5146
辽宁卫视,http://113.81.20.24:8188/udp/239.77.1.103:5146
黑龙江卫视,http://113.81.20.24:8188/udp/239.77.0.124:5146
贵州卫视,http://113.81.20.24:8188/udp/239.77.1.221:5146
四川卫视,http://113.81.20.24:8188/udp/239.77.1.215:5146
河南卫视,http://113.81.20.24:8188/udp/239.77.1.229:5146
云南卫视,http://113.81.20.24:8188/udp/239.253.43.37:5146
重庆卫视,http://113.81.20.24:8188/udp/239.77.1.162:5146
河北卫视,http://113.81.20.24:8188/udp/239.77.1.214:5146
东南卫视,http://113.81.20.24:8188/udp/239.77.1.104:5146
甘肃卫视,http://113.81.20.24:8188/udp/239.77.0.189:5146
广西卫视,http://113.81.20.24:8188/udp/239.253.43.36:5146
吉林卫视,http://113.81.20.24:8188/udp/239.77.1.111:5146
青海卫视,http://113.81.20.24:8188/udp/239.253.43.125:5146
三沙卫视,http://113.81.20.24:8188/udp/239.253.43.113:5146
广东卫视,http://14.112.85.20:3861/udp/239.77.1.19:5146
广东卫视,http://14.112.85.20:3861/udp/239.77.1.152:5146
广东卫视,http://14.112.85.20:3861/udp/239.77.0.166:5146
广东大湾区卫视,http://14.112.85.20:3861/udp/239.77.0.215:5146
深圳卫视,http://14.112.85.20:3861/udp/239.77.1.3:5146
深圳卫视,http://14.112.85.20:3861/udp/239.77.0.130:5146
湖南卫视,http://14.112.85.20:3861/udp/239.77.1.5:5146
浙江卫视,http://14.112.85.20:3861/udp/239.77.1.33:5146
江苏卫视,http://14.112.85.20:3861/udp/239.77.1.18:5146
东方卫视,http://14.112.85.20:3861/udp/239.77.1.218:5146
安徽卫视,http://14.112.85.20:3861/udp/239.77.1.92:5146
北京卫视,http://14.112.85.20:3861/udp/239.77.1.4:5146
北京卫视,http://14.112.85.20:3861/udp/239.77.1.151:5146
天津卫视,http://14.112.85.20:3861/udp/239.77.1.141:5146
天津卫视,http://14.112.85.20:3861/udp/239.77.1.182:5146
天津卫视,http://14.112.85.20:3861/udp/239.77.0.131:5146
山东卫视,http://14.112.85.20:3861/udp/239.77.1.142:5146
江西卫视,http://14.112.85.20:3861/udp/239.77.1.219:5146
湖北卫视,http://14.112.85.20:3861/udp/239.77.0.128:5146
辽宁卫视,http://14.112.85.20:3861/udp/239.77.1.103:5146
黑龙江卫视,http://14.112.85.20:3861/udp/239.77.0.124:5146
贵州卫视,http://14.112.85.20:3861/udp/239.77.1.221:5146
四川卫视,http://14.112.85.20:3861/udp/239.77.1.215:5146
河南卫视,http://14.112.85.20:3861/udp/239.77.1.229:5146
云南卫视,http://14.112.85.20:3861/udp/239.253.43.37:5146
重庆卫视,http://14.112.85.20:3861/udp/239.77.1.162:5146
河北卫视,http://14.112.85.20:3861/udp/239.77.1.214:5146
东南卫视,http://14.112.85.20:3861/udp/239.77.1.104:5146
甘肃卫视,http://14.112.85.20:3861/udp/239.77.0.189:5146
广西卫视,http://14.112.85.20:3861/udp/239.253.43.36:5146
吉林卫视,http://14.112.85.20:3861/udp/239.77.1.111:5146
青海卫视,http://14.112.85.20:3861/udp/239.253.43.125:5146
三沙卫视,http://14.112.85.20:3861/udp/239.253.43.113:5146
