央视,#genre#
CCTV1HD,http://58.35.95.16:9898/rtp/233.18.204.168:5140
CCTV1HD,http://58.35.95.16:9898/rtp/233.18.204.52:5140
CCTV2HD,http://58.35.95.16:9898/rtp/233.18.204.68:5140
CCTV3HD,http://58.35.95.16:9898/rtp/233.18.204.69:5140
CCTV4HD,http://58.35.95.16:9898/rtp/233.18.204.70:5140
CCTV5HD,http://58.35.95.16:9898/rtp/233.18.204.71:5140
CCTV5+HD,http://58.35.95.16:9898/rtp/233.18.204.67:5140
CCTV6HD,http://58.35.95.16:9898/rtp/233.18.204.72:5140
CCTV7HD,http://58.35.95.16:9898/rtp/233.18.204.73:5140
CCTV8HD,http://58.35.95.16:9898/rtp/233.18.204.74:5140
CCTV9HD,http://58.35.95.16:9898/rtp/233.18.204.75:5140
CCTV10HD,http://58.35.95.16:9898/rtp/233.18.204.76:5140
CCTV11HD,http://58.35.95.16:9898/rtp/233.18.204.77:5140
CCTV12HD,http://58.35.95.16:9898/rtp/233.18.204.78:5140
CCTV13HD,http://58.35.95.16:9898/rtp/233.18.204.79:5140
CCTV14HD,http://58.35.95.16:9898/rtp/233.18.204.80:5140
CCTV15HD,http://58.35.95.16:9898/rtp/233.18.204.81:5140
CCTV16HD,http://58.35.95.16:9898/rtp/233.18.204.82:5140
CCTV17HD,http://58.35.95.16:9898/rtp/233.18.204.83:5140
央视台球HD,http://58.35.95.16:9898/rtp/233.18.204.177:5140
CCTV1SD,http://58.35.95.16:9898/rtp/233.18.204.20:5140
CCTV2SD,http://58.35.95.16:9898/rtp/233.18.204.21:5140
CCTV3SD,http://58.35.95.16:9898/rtp/233.18.204.22:5140
CCTV4SD,http://58.35.95.16:9898/rtp/233.18.204.23:5140
CCTV5SD,http://58.35.95.16:9898/rtp/233.18.204.24:5140
CCTV6SD,http://58.35.95.16:9898/rtp/233.18.204.25:5140
CCTV7SD,http://58.35.95.16:9898/rtp/233.18.204.26:5140
CCTV8SD,http://58.35.95.16:9898/rtp/233.18.204.27:5140
CCTV9SD,http://58.35.95.16:9898/rtp/233.18.204.40:5140
CCTV10SD,http://58.35.95.16:9898/rtp/233.18.204.29:5140
CCTV11SD,http://58.35.95.16:9898/rtp/233.18.204.30:5140
CCTV12SD,http://58.35.95.16:9898/rtp/233.18.204.31:5140
CCTV13SD,http://58.35.95.16:9898/rtp/233.18.204.32:5140
CCTV14SD,http://58.35.95.16:9898/rtp/233.18.204.33:5140
CCTV15SD,http://58.35.95.16:9898/rtp/233.18.204.34:5140
CCTV17SD,http://58.35.95.16:9898/rtp/233.18.204.35:5140
CCTV1HD,http://116.234.14.151:8188/rtp/233.18.204.168:5140
CCTV1HD,http://116.234.14.151:8188/rtp/233.18.204.52:5140
CCTV2HD,http://116.234.14.151:8188/rtp/233.18.204.68:5140
CCTV3HD,http://116.234.14.151:8188/rtp/233.18.204.69:5140
CCTV4HD,http://116.234.14.151:8188/rtp/233.18.204.70:5140
CCTV5HD,http://116.234.14.151:8188/rtp/233.18.204.71:5140
CCTV5+HD,http://116.234.14.151:8188/rtp/233.18.204.67:5140
CCTV6HD,http://116.234.14.151:8188/rtp/233.18.204.72:5140
