4K频道,#genre#
CCTV4K,http://219.140.5.147:8899/rtp/239.69.1.111:10304
CCTV16 4K,http://219.140.5.147:8899/rtp/239.69.1.249:11136
欢笑剧场,http://219.140.5.147:8899/rtp/239.69.2.5:11184
湖南卫视4K,http://219.140.5.147:8899/rtp/239.69.2.34:11358
浙江卫视4K,http://219.140.5.147:8899/rtp/239.69.2.35:11364
江苏卫视4K,http://219.140.5.147:8899/rtp/239.69.2.36:11370
东方卫视4K,http://219.140.5.147:8899/rtp/239.69.2.37:11376
山东卫视4K,http://219.140.5.147:8899/rtp/239.69.2.38:11382
四川卫视4K,http://219.140.5.147:8899/rtp/239.69.2.39:11388
北京卫视4K,http://219.140.5.147:8899/rtp/239.69.2.22:11286
广东卫视4K,http://219.140.5.147:8899/rtp/239.69.2.27:11316
深圳卫视4K,http://219.140.5.147:8899/rtp/239.69.2.28:11322
CCTV4K,http://59.175.154.178:8188/rtp/239.69.1.111:10304
CCTV16 4K,http://59.175.154.178:8188/rtp/239.69.1.249:11136
欢笑剧场,http://59.175.154.178:8188/rtp/239.69.2.5:11184
湖南卫视4K,http://59.175.154.178:8188/rtp/239.69.2.34:11358
浙江卫视4K,http://59.175.154.178:8188/rtp/239.69.2.35:11364
江苏卫视4K,http://59.175.154.178:8188/rtp/239.69.2.36:11370
东方卫视4K,http://59.175.154.178:8188/rtp/239.69.2.37:11376
山东卫视4K,http://59.175.154.178:8188/rtp/239.69.2.38:11382
四川卫视4K,http://59.175.154.178:8188/rtp/239.69.2.39:11388
北京卫视4K,http://59.175.154.178:8188/rtp/239.69.2.22:11286
广东卫视4K,http://59.175.154.178:8188/rtp/239.69.2.27:11316
深圳卫视4K,http://59.175.154.178:8188/rtp/239.69.2.28:11322

湖北电信-央视,#genre#
CCTV-1综合,http://219.140.5.147:8899/rtp/239.254.96.96:8550
CCTV-2财经,http://219.140.5.147:8899/rtp/239.69.1.102:10250
CCTV-3综艺,http://219.140.5.147:8899/rtp/239.69.1.122:10370
CCTV-4中文国际,http://219.140.5.147:8899/rtp/239.69.1.138:10466
CCTV-5体育,http://219.140.5.147:8899/rtp/239.69.1.123:10376
CCTV-6电影,http://219.140.5.147:8899/rtp/239.69.1.124:10382
CCTV-7国防军事,http://219.140.5.147:8899/rtp/239.69.1.103:10256
CCTV-8电视剧,http://219.140.5.147:8899/rtp/239.69.1.125:10388
CCTV-9纪录,http://219.140.5.147:8899/rtp/239.69.1.104:10262
CCTV-10科教,http://219.140.5.147:8899/rtp/239.69.1.105:10268
CCTV-11戏曲,http://219.140.5.147:8899/rtp/239.69.1.154:10560
CCTV-12社会与法,http://219.140.5.147:8899/rtp/239.69.1.106:10274
CCTV-13新闻,http://219.140.5.147:8899/rtp/239.254.96.161:9040
CCTV-14少儿,http://219.140.5.147:8899/rtp/239.69.1.107:10280
CCTV-15音乐,http://219.140.5.147:8899/rtp/239.69.1.155:10566
CCTV-16奥林匹克,http://219.140.5.147:8899/rtp/239.69.1.247:11124
CCTV-16奥林匹克4K,http://219.140.5.147:8899/rtp/239.69.1.249:11136
CCTV-17农业农村,http://219.140.5.147:8899/rtp/239.69.1.152:10548
CCTV-5+体育赛事,http://219.140.5.147:8899/rtp/239.254.96.234:9484
CCTV 4K,http://219.140.5.147:8899/rtp/239.69.1.12:9712
CHC-影迷电影,http://219.140.5.147:8899/rtp/239.69.1.241:11088
CHC-动作电影,http://219.140.5.147:8899/rtp/239.69.1.242:11094
CHC-家庭影院,http://219.140.5.147:8899/rtp/239.69.1.243:11100
CCTV-第一剧场,http://219.140.5.147:8899/rtp/239.69.1.74:10084
CCTV-兵器科技,http://219.140.5.147:8899/rtp/239.69.1.79:10114
CCTV-风云足球,http://219.140.5.147:8899/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://219.140.5.147:8899/rtp/239.69.1.83:10138
CCTV-世界地理,http://219.140.5.147:8899/rtp/239.69.1.91:10186
CCTV-央视台球,http://219.140.5.147:8899/rtp/239.69.1.98:10224
CCTV-4中文国际 欧洲,http://219.140.5.147:8899/rtp/239.69.1.231:11028
